"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","abund_value","abund_unit","lng","lat","paleomodel","paleolng","paleolat","geoplate"
"786946","occ","","","84949","Platanista n. sp. croatica","species","68810","recombined as","Heterodelphis croatica","species","68810","Sarmatian","","12.7","11.608","15273","","","15.873611","45.821388","gp_mid","17.75","42.76","307"
"786947","occ","","","84949","Mesocetus n. sp. agrami","species","69125","","Mesocetus agrami","species","69125","Sarmatian","","12.7","11.608","15446","1","specimens","15.873611","45.821388","gp_mid","17.75","42.76","307"
"787142","occ","","","18506","Phoca n. sp. debilis","species","68316","nomen dubium","Odontoceti","suborder","42937","Miocene","","23.03","5.333","15080","","","-80.400002","33.099998","gp_mid","-74.45","34.98","109"
"787146","occ","","","55396","Squalodon n. sp. wymanii","species","67813","nomen dubium","Odontoceti","suborder","42937","Langhian","","15.97","13.82","12189","","","-76.730797","38.541199","gp_mid","-69.63","40.22","109"
"787179","occ","","","49982","Delphinapterus n. sp. orcinus","species","112864","nomen dubium","Odontoceti","suborder","42937","Zanclean","","5.333","3.6","13421","","","-77.580833","36.325279","gp_mid","-75.84","36.89","109"
"787227","occ","","","45485","n. gen. Piscorhynchus n. sp. aenigmaticus","species","63943","recombined as","Piscolithax aenigmaticus","species","63943","Tortonian","","11.62","7.246","12843","1","specimens","-74.781944","-15.482778","gp_mid","-72.57","-14.90","201"
"787228","occ","","","47080","Pachyacanthus n. sp. letochae","species","94696","subjective synonym of","Pachyacanthus suessii","species","64470","Sarmatian","","12.7","11.608","11981","","","16.353056","48.222221","gp_mid","17.68","45.88","305"
"787237","occ","","","38499","Stenella sp.","genus","102903","","Stenella","genus","36854","Early Pleistocene","","2.588","0.781","28532","","","139.570007","35.620834","gp_mid","139.18","35.54","610"
"787245","occ","","","79697","Odontoceti indet.","suborder","42937","","Odontoceti","suborder","42937","Early Pleistocene","","2.588","0.781","28532","","","139.380829","35.649166","gp_mid","138.99","35.56","610"
"787288","occ","","","58148","Acrodelphis n. sp. bakersfieldensis","species","64562","recombined as","Argyrocetus bakersfieldensis","species","64562","Chattian","","28.1","23.03","12749","1","specimens","-118.914719","35.667500","gp_mid","-105.22","40.13","130"
"787290","occ","","","45886","n. gen. Prosqualodon n. sp. australis","species","58388","","Prosqualodon australis","species","58388","Burdigalian","","20.44","15.97","12338","","","-65.419441","-43.301945","gp_mid","-62.37","-42.83","291"
"787291","occ","","","45886","n. gen. Argyrocetus n. sp. patagonicus","species","63997","","Argyrocetus patagonicus","species","63997","Burdigalian","","20.44","15.97","12338","","","-65.419441","-43.301945","gp_mid","-62.37","-42.83","291"
"787332","occ","","","57731","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Zanclean","Piacenzian","5.333","2.588","19618","1","specimens","8.057500","44.959999","gp_mid","8.83","44.04","307"
