Aulophyseter,mediatlanticus
Orycterocetus,crocodilinus
Balaenoptera,cephalus
Grampus,griseus
Protororqualus,cuvieri
Eubalaena,australis
Balaenoptera,musculus
Squalodon,calvertensis
Squalodon,tiedemani
Delphinus,delphis
Tursiops,truncatus
Phocoena,phocoena
Tursiops,capellinii
Schizodelphis,sulcatus
Scaldicetus,grandis
Pontistes,rectifrons
Balaenoptera,borealis
Tiphyocetus,temblorensis
Basilosaurus,cetoides
Balaenoptera,davidsonii
Hemisyntrachelus,cortesii
Saurocetus,gibbesii
Basilosaurus,cetoides
Scaldicetus,grandis
Balaenula,balaenopsis
Delphinodon,dividum
Kentriodon,hobetsu
Eubalaena,glacialis
Mesocetus,hungaricus
Makaracetus,bidens
Pomatodelphis,stenorhynchus
Kentriodon,fuchsii
Eurhinodelphis,longirostris
Physeterula,dubusi
Saurocetes,gigas
Delphinus,delphis
Schizodelphis,sulcatus
Schizodelphis,sulcatus
Heterodelphis,leiodontus
Schizodelphis,squalodontoides
Delphinodon,dividum
Diorocetus,shobarensis
Odobenocetops,leptodon
Odobenocetops,leptodon
Aetiocetus,cotylalveus
Aetiocetus,cotylalveus
Aetiocetus,cotylalveus
Arimidelphis,sorbinii
Schizodelphis,sulcatus
Balaenoptera,siberi
Kentriodon,pernix
Basilosaurus,cetoides
Zarhachis,crassangulum
Scaldicetus,degiorgii
Mesoplodon,longirostris
Hoplocetus,crassidens
Mesoplodon,longirostris
Choneziphius,planirostris
Aglaocetus,burtinii
Globicephala,macrorhynchus
Diorocetus,hiatus
Eobalaenoptera,harrisoni
Balaenoptera,siberi
Eschrichtioides,gastaldii
Kentriodon,fuchsii
Platyosphys,einori
Brygmophyseter,shigensis
Pliopontos,littoralis
Mesoplodon,longirostris
Ziphius,cavirostris
Ninoziphius,platyrostris
Herpetocetus,sendaicus
Balaenoptera,acutorostrata
Liolithax,kernensis
Liolithax,kernensis
Beneziphius,brevirostris
Pomatodelphis,stenorhynchus
Schizodelphis,sulcatus
Schizodelphis,sulcatus
Schizodelphis,sulcatus
Schizodelphis,sulcatus
Schizodelphis,sulcatus
Schizodelphis,barnesi
Schizodelphis,barnesi
Schizodelphis,barnesi
Schizodelphis,barnesi
Schizodelphis,barnesi
Schizodelphis,barnesi
Schizodelphis,barnesi
Argyrocetus,joaquinensis
Balaenella,brachyrhynus
Pelocetus,mirabilis
Basilosaurus,cetoides
Squalodon,whitmorei
Squalodon,whitmorei
Squalodon,whitmorei
Squalodon,whitmorei
Pseudorca,crassidens
Argyrocetus,joaquinensis
Macrodelphinus,kelloggi
Miodelphis,californicus
Argyrocetus,joaquinensis
Allodelphis,pratti
Balaena,forsythmajori
Hemisyntrachelus,cortesii
Monodon,monoceros
Delphinapterus,leucas
Sophianacetus,commenticius
Balaenoptera,davidsonii
Parapontoporia,sternbergi
Balaena,ricei
Protophocaena,minima
Graamocetus,longicollis
Piscolithax,longirostris
Sarmatodelphis,moldavicus
Neosqualodon,gastaldii
Squalodon,antverpiensis
Squalodon,melitensis
Archaeoziphius,microglenoideus
Cophocetus,oregonensis
Cophocetus,oregonensis
Cophocetus,oregonensis
Orycterocetus,crocodilinus
Orycterocetus,crocodilinus
Orycterocetus,crocodilinus
Orycterocetus,crocodilinus
Orycterocetus,crocodilinus
Phocageneus,venustus
Masracetus,markgrafi
Cynthiacetus,maxwelli
Cynthiacetus,maxwelli
Cynthiacetus,maxwelli
