"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"481530","occ","","","48093","Hoplocetus curvidens","species","69223","Gelasian","","2.588","1.806","12874"
"481531","occ","","","48093","Hyperoodon","genus","63591","Gelasian","","2.588","1.806","12874"
"481532","occ","","","48093","Choneziphius planirostris","species","67993","Gelasian","","2.588","1.806","12874"
"481533","occ","","","48093","Choneziphius planirostris","species","67993","Gelasian","","2.588","1.806","12874"
"481534","occ","","","48093","Choneziphius planirostris","species","67993","Gelasian","","2.588","1.806","13661"
"481535","occ","","","48093","Mesoplodon longirostris","species","64852","Gelasian","","2.588","1.806","12874"
"481537","occ","","","48093","Mesoplodon longirostris","species","64852","Gelasian","","2.588","1.806","12874"
"481538","occ","","","48093","Mesoplodon longirostris","species","64852","Gelasian","","2.588","1.806","12874"
"481539","occ","","","48093","Belemnoziphius compressus","species","64702","Gelasian","","2.588","1.806","12874"
"481540","occ","","","48093","Mesoplodon layardii","species","82034","Gelasian","","2.588","1.806","12874"
"481542","occ","","","48093","Orcinus citoniensis","species","67992","Gelasian","","2.588","1.806","12874"
"481543","occ","","","48093","Globicephala uncidens","species","89208","Gelasian","","2.588","1.806","12874"
"481544","occ","","","48094","Mesoplodon tumidirostris","species","64854","Zanclean","","5.333","3.6","12875"
"481545","occ","","","48095","Cetotheriidae","family","66751","Burdigalian","","20.44","15.97","12876"
"481546","occ","23313","","43063","Platanistoidea","superfamily","53258","Early Miocene","","23.03","15.97","33268"
"481548","occ","","","47623","Squalodon catulli","species","63725","Aquitanian","","23.03","20.44","17181"
"481550","occ","","","47623","Squalodon bariensis","species","63727","Aquitanian","","23.03","20.44","12220"
"481552","occ","","","47623","Squalodelphis fabianii","species","64078","Aquitanian","","23.03","20.44","12440"
"481553","occ","","","47623","Scaldicetus bellunensis","species","68696","Aquitanian","","23.03","20.44","12880"
"481554","occ","","","47623","Ziphiodelphis sigmoideus","species","67740","Aquitanian","","23.03","20.44","12880"
"481555","occ","","","47623","Mycteriacetus bellunensis","species","67736","Aquitanian","","23.03","20.44","12880"
"481556","occ","","","47623","Eoplatanista italica","species","63691","Aquitanian","","23.03","20.44","12880"
"481557","occ","","","47623","Eoplatanista gresalensis","species","63693","Aquitanian","","23.03","20.44","12586"
"485995","occ","","","48623","Cetacea","order","36652","Early Miocene","","23.03","15.97","12972"
"486142","occ","","","48642","Patriocetus ehrlichii","species","68320","Burdigalian","","20.44","15.97","12979"
"486149","occ","","","48645","Hemisyntrachelus cortesii","species","64535","Pliocene","","5.333","2.588","12981"
"486150","occ","","","48645","Mesoplodon","genus","36763","Pliocene","","5.333","2.588","12981"
"486151","occ","","","48645","Mesoplodon","genus","36763","Pliocene","","5.333","2.588","12981"
"486152","occ","","","48645","Tursiops brocchii","species","87357","Pliocene","","5.333","2.588","12981"
"486153","occ","","","48646","Etruridelphis giulii","species","63824","Piacenzian","Gelasian","3.6","1.806","12981"
"486164","occ","20142","","46087","Mesoplodon longirostris","species","64852","Pliocene","","5.333","2.588","11911"
"486166","occ","","","48652","Mesoplodon","genus","36763","Piacenzian","","3.6","2.588","14622"
"486167","occ","","","48652","Mesoplodon","genus","36763","Piacenzian","","3.6","2.588","26035"
"486168","occ","","","48653","Scaldicetus perpinguis","species","65070","Burdigalian","","20.44","15.97","12981"
"486169","occ","","","48654","Hemisyntrachelus cortesii","species","64535","Pliocene","","5.333","2.588","12981"
"486170","occ","","","48655","Tursiops osennae","species","63829","Calabrian","","1.806","0.781","14644"
"486171","occ","","","48656","Scaldicetus inflatus","species","65071","Serravallian","","13.82","11.62","12984"
"486172","occ","","","48656","Scaldicetus grandis","species","64626","Serravallian","","13.82","11.62","12984"
"486173","occ","","","48656","Scaldicetus","genus","36900","Serravallian","","13.82","11.62","12984"
"486174","occ","","","48656","Schizodelphis sulcatus","species","63687","Serravallian","","13.82","11.62","13196"
"486175","occ","","","48656","Globicephala uncidens","species","89208","Serravallian","","13.82","11.62","12984"
"486176","occ","","","48656","Delphinidae","family","42953","Serravallian","","13.82","11.62","12984"
"486177","occ","12342","","48656","Odontoceti","suborder","42937","Serravallian","","13.82","11.62","12747"
"486178","occ","","","48656","Squalodon imperator","species","65073","Serravallian","","13.82","11.62","12984"
"486179","occ","","","48656","Squalodon bellunensis","species","90633","Serravallian","","13.82","11.62","12984"
