"461114","occ","","","45499","Nannocetus eremus","species","62941","Messinian","","7.246","5.333","11913"
"461115","occ","","","45500","Xenorophus sloanii","species","62942","Rupelian","","33.9","28.1","11915"
"461121","occ","","","45502","Pelocetus calvertensis","species","62945","Langhian","","15.97","13.82","11917"
"461122","occ","","","45503","Messapicetus longirostris","species","62947","Tortonian","","11.62","7.246","11918"
"461123","occ","","","45505","Vanbreenia trigonia","species","62950","Langhian","","15.97","13.82","11920"
"461126","occ","","","45502","Diorocetus hiatus","species","62951","Langhian","","15.97","13.82","11921"
"461128","occ","","","45508","Aglaocetus patulus","species","62952","Langhian","","15.97","13.82","11923"
"461129","occ","","","45508","Pelocetus calvertensis","species","62945","Langhian","","15.97","13.82","11917"
"461130","occ","","","45502","Hadrodelphis calvertense","species","64434","Langhian","","15.97","13.82","11924"
"461131","occ","","","45509","Lophocetus pappus","species","62953","Langhian","","15.97","13.82","11925"
"461132","occ","","","45502","Lophocetus pappus","species","62953","Langhian","","15.97","13.82","11925"
"461137","occ","","","45511","Phocageneus venustus","species","62956","Burdigalian","","20.44","15.97","11926"
"461398","occ","","","45524","Attockicetus praecursor","species","62970","Lutetian","","47.8","41.3","11942"
"461438","occ","","","45527","Ambulocetus natans","species","62971","Lutetian","","47.8","41.3","11943"
"461455","occ","","","45529","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.3","11944"
"462021","occ","","","45584","Himalayacetus subathuensis","species","63094","Ypresian","","56","47.8","11985"
"462022","occ","","","45583","Kutchicetus minimus","species","63096","Lutetian","","47.8","41.3","11985"
"462050","occ","","","45529","Pakicetus attocki","species","53311","Lutetian","","47.8","41.3","11990"
"462051","occ","","","45586","Nalacetus ratimitus","species","63098","Lutetian","","47.8","41.3","11990"
"462052","occ","15613","","45586","Pakicetus attocki","species","53311","Lutetian","","47.8","41.3","8326"
"462053","occ","","","45586","Pakicetus inachus","species","53310","Lutetian","","47.8","41.3","11990"
"462054","occ","","","45587","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.3","11990"
"462056","occ","","","28978","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.3","11990"
"462063","occ","","","45590","Indocetus ramani","species","53308","Lutetian","","47.8","41.3","11991"
"462064","occ","","","45590","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11991"
"462065","occ","11942","","45590","Remingtonocetus harudiensis","species","53238","Lutetian","","47.8","41.3","11997"
"462066","occ","","","45590","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11991"
