"Pseudorca crassidens","species","0.0117","0","55081"
"Pseudorca crassidens","species","0.0117","0","55081"
"Pseudorca crassidens","species","0.0117","0","55081"
"Pseudorca crassidens","species","0.0117","0","55081"
"Pseudorca crassidens","species","0.0117","0","55081"
"Pseudorca crassidens","species","0.0117","0","55081"
"Pseudorca crassidens","species","0.0117","0","55081"
"Pseudorca crassidens","species","0.0117","0","55081"
"Pseudorca crassidens","species","0.0117","0","55081"
"Pseudorca crassidens","species","0.0117","0","55081"
"Orcinus orca","species","0.0117","0","55082"
"Orcinus orca","species","0.0117","0","55082"
"Orcinus orca","species","0.0117","0","55082"
"Orcinus orca","species","0.0117","0","55082"
"Orcinus orca","species","0.0117","0","55082"
"Orcinus orca","species","0.0117","0","55082"
"Orcinus orca","species","0.0117","0","55082"
"Orcinus orca","species","0.0117","0","55082"
"Orcinus orca","species","0.0117","0","55082"
"Orcinus orca","species","0.0117","0","55082"
"Orcinus orca","species","0.0117","0","55082"
"Orcinus orca","species","0.0117","0","55082"
"Orcinus orca","species","0.0117","0","55082"
"Globicephala melas","species","0.0117","0","55082"
"Globicephala melas","species","0.0117","0","55082"
"Globicephala melas","species","0.0117","0","55082"
"Globicephala macrorhynchus","species","0.0117","0","55082"
"Globicephala macrorhynchus","species","0.0117","0","55082"
"Globicephala macrorhynchus","species","0.0117","0","55082"
"Globicephala macrorhynchus","species","0.0117","0","55082"
"Globicephala macrorhynchus","species","0.0117","0","55082"
"Globicephala macrorhynchus","species","0.0117","0","55082"
"Globicephala macrorhynchus","species","0.0117","0","55082"
"Globicephala macrorhynchus","species","0.0117","0","55082"
"Globicephala macrorhynchus","species","0.0117","0","55082"
"Globicephala macrorhynchus","species","0.0117","0","55082"
"Orcaella brevirostris","species","0.0117","0","55090"
"Orcaella brevirostris","species","0.0117","0","55090"
"Orcaella brevirostris","species","0.0117","0","55090"
"Delphinus delphis","species","0.0117","0","57380"
"Grampus griseus","species","0.0117","0","57380"
"Orcinus orca","species","0.0117","0","57684"
"Delphinus delphis","species","0.0117","0","59464"
"Tursiops truncatus","species","0.0117","0","59464"
